date,adj close,close,high,low,open,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
8/26/2021,1792.199951,1792.199951,1792.199951,1781,1787.400024,61,1790.285679,1790.646655,1814.777778,0.002236886,0.006544666,0.008881675,51.18254359,-1.834567889,-5.73131227,1836.096573,1728.6134
8/27/2021,1816.599976,1816.599976,1816.599976,1803.099976,1803.400024,1219,1795.285679,1790.716654,1815.047777,0.013614566,0.008019704,0.009147921,58.72810586,0.671841744,-4.450681467,1836.772973,1728.337
8/30/2021,1809,1809,1820.300049,1807.800049,1818.199951,684,1799.399972,1790.726656,1815.356666,-0.004183626,0.008368887,0.009161874,55.83331943,2.02163082,-3.15621901,1835.259564,1728.940412
8/31/2021,1815,1815,1815.900024,1801.099976,1815.900024,82,1804.257115,1790.863322,1815.778889,0.00331675,0.008331863,0.009179133,57.60979715,3.534751825,-1.818024843,1836.060747,1728.629231
9/1/2021,1813.099976,1813.099976,1815.900024,1809.5,1813.5,114,1805.671404,1791.20332,1816.155556,-0.001046845,0.007188714,0.009142276,56.83025921,4.528394519,-0.548740971,1836.474506,1728.475469
9/2/2021,1808.699951,1808.699951,1813.900024,1806.800049,1813.199951,26,1806.114258,1791.326652,1816.496666,-0.002426796,0.007282548,0.009153104,54.9750738,4.904284772,0.541864178,1836.978003,1728.33197
9/3/2021,1830.900024,1830.900024,1833.900024,1818.900024,1820.900024,53,1812.214268,1792.309985,1817.137778,0.01227405,0.00702001,0.009407226,61.75820154,6.913842412,1.816259825,1843.327819,1729.072157
9/7/2021,1795.900024,1795.900024,1825.699951,1792.699951,1825.699951,48,1812.74285,1792.216654,1817.446667,-0.019116281,0.011076137,0.010068414,49.1789556,5.617469139,2.576501688,1839.232251,1740.417725
9/8/2021,1790.699951,1790.699951,1790.699951,1781.699951,1781.699951,69,1809.042847,1791.923319,1817.706666,-0.002895525,0.009413141,0.010081755,47.62679234,4.122954673,2.885792285,1833.639832,1752.200134
9/9/2021,1797.400024,1797.400024,1798.699951,1787.900024,1798.699951,49,1807.385707,1791.85332,1817.773333,0.003741595,0.009583367,0.010106328,49.82418324,3.43953232,2.996540292,1831.025275,1759.514691
9/10/2021,1789.599976,1789.599976,1789.599976,1789.599976,1789.599976,0,1803.757132,1790.466654,1817.926666,-0.004339629,0.009460821,0.009568098,47.33431318,2.24266439,2.845765112,1826.286269,1768.313694
9/13/2021,1792,1792,1796,1784,1789.800049,533,1800.74285,1789.779989,1818.014444,0.001341095,0.009542472,0.009406003,48.19220908,1.470844861,2.570781061,1825.440499,1770.839469
9/14/2021,1804.699951,1804.699951,1806.199951,1783,1791.400024,764,1800.171422,1789.333321,1817.894443,0.007087026,0.010073108,0.009484878,52.59290404,1.862482703,2.42912139,1825.964884,1772.095077
9/15/2021,1792.400024,1792.400024,1803.699951,1792.400024,1803.699951,59,1794.671422,1788.743323,1817.464444,-0.006815497,0.008584292,0.009531869,48.31262589,1.166905856,2.176678283,1825.750781,1773.049182
9/16/2021,1754.599976,1754.599976,1792.900024,1743.900024,1792.900024,1645,1788.771415,1786.879989,1816.543332,-0.02108907,0.009211097,0.010259268,38.06087346,-2.406748342,1.259992958,1830.067394,1766.032569
9/17/2021,1749.400024,1749.400024,1763,1749.400024,1758.800049,581,1782.871425,1785.023324,1815.582221,-0.002963611,0.009210658,0.010259142,36.90085349,-5.594003453,-0.110806324,1834.262698,1758.757273
9/20/2021,1761.800049,1761.800049,1761.800049,1750.900024,1751.800049,185,1777.785714,1785.083325,1814.906666,0.007088158,0.009709857,0.009298991,41.48111932,-7.038215584,-1.496288176,1835.729895,1755.370081
